Events gesamt: 81 | mit Bild: 73 | mit Beschreibung: 75
club/28354 (://about blank): 34 -> 34 Berlin | flyer=0 images=28 content=30
club/98993 (Beate Uwe): 16 -> 16 Berlin | flyer=0 images=15 content=16
club/298230 (ROSA): 3 -> 3 Berlin | flyer=0 images=3 content=3
promoter/82597 (BOAR Berlin): 0 -> 0 Berlin | flyer=0 images=0 content=0
promoter/71007 (Buttons): 0 -> 0 Berlin | flyer=0 images=0 content=0
promoter/80958 (GEGEN): 9 -> 3 Berlin | flyer=0 images=9 content=8
promoter/79889 (HE.SHE.THEY.): 3 -> 0 Berlin | flyer=0 images=3 content=3
artist/horsemeatdisco: ID nicht auflösbar
promoter/84128 (Klub Verboten): 4 -> 0 Berlin | flyer=0 images=4 content=4
promoter/167895 (Lecken3000): 1 -> 1 Berlin | flyer=0 images=1 content=1
promoter/137536 (Magic Dyke*): 0 -> 0 Berlin | flyer=0 images=0 content=0
promoter/169756 (Mala Junta): 3 -> 0 Berlin | flyer=0 images=3 content=3
promoter/109496 (PiepShow Berlin): 15 -> 15 Berlin | flyer=0 images=15 content=15
promoter/112980 (Pinky Promise): 1 -> 1 Berlin | flyer=0 images=1 content=1
promoter/119317 (Polyamor): 6 -> 5 Berlin | flyer=0 images=5 content=4
promoter/52590 (Pornceptual): 4 -> 1 Berlin | flyer=0 images=4 content=4
promoter/68628 (Room 4 Resistance): 0 -> 0 Berlin | flyer=0 images=0 content=0
promoter/110626 (Supernature): 0 -> 0 Berlin | flyer=0 images=0 content=0
promoter/90524 (¡MASH-UP! Multigender / Multiworld): 1 -> 1 Berlin | flyer=0 images=1 content=1
promoter/111118 (Body Language): 1 -> 1 Berlin | flyer=0 images=1 content=1
Artist-Auflösung: status=403 len=768 keine ID
